CATEGORY,YEAR,INDICATOR,SOURCE,DESCRIPTION,UNIT,MAP,GRAPH,FILE,OPTIONS,TYPE,AFG,ALB,DZA,AND,AGO,AIA,ATG,ARG,ARM,ABW,AUS,AUT,AZE,BHS,BHR,BGD,BRB,BLR,BEL,BLZ,BEN,BMU,BTN,BOL,BIH,BWA,BRA,VGB,BRN,BGR,BFA,BDI,KHM,CMR,CAN,CPV,CYM,CAF,TCD,CHL,CHN,COL,COM,COG,COK,CRI,CIV,HRV,CUB,CYP,CZE,PRK,COD,DNK,DJI,DMA,DOM,ECU,EGY,SLV,GNQ,ERI,EST,ETH,FJI,FIN,FRA,GAB,GMB,GEO,DEU,GHA,GIB,GRC,GRD,GTM,GIN,GNB,GUY,HTI,VAT,HND,HKG,HUN,ISL,IND,IDN,IRN,IRQ,IRL,ISR,ITA,JAM,JPN,JOR,KAZ,KEN,KIR,KWT,KGZ,LAO,LVA,LBN,LSO,LBR,LBY,LIE,LTU,LUX,MAC,MDG,MWI,MYS,MDV,MLI,MLT,MHL,MRT,MUS,MEX,FSM,MCO,MNG,MNE,MSR,MAR,MOZ,MMR,NAM,NRU,NPL,NLD,ANT,NZL,NIC,NER,NGA,NIU,NOR,OMN,PAK,PLW,PSE,PAN,PNG,PRY,PER,PHL,POL,PRT,QAT,KOR,MDA,ROU,RUS,RWA,KNA,LCA,VCT,WSM,SMR,STP,SAU,SEN,SRB,SYC,SLE,SGP,SVK,SVN,SLB,SOM,ZAF,ESP,LKA,SDN,SUR,SWZ,SWE,CHE,SYR,TJK,THA,MKD,TLS,TGO,TKL,TON,TTO,TUN,TUR,TKM,TCA,TUV,UGA,UKR,ARE,GBR,TZA,USA,URY,UZB,VUT,VEN,VNM,YEM,ZMB,ZWE,GUF,ESH,TWN,GRL,EAZ,SJM,PRI,IMN,JEY,GGY,VIR,KOS,SSD,,,,,,,,,,,,,,,,,,,,,,,
,2009,,<a href='http://datafinder.worldbank.org/'>UNPD via World Bank</a>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Population,,Example with no map legend modification,,,,,,,29802724.26,3155271,34895470,85168,18497632,,87600,40276376,3082951,106523,21874900,8364095,8781100,341713,791473,162220762,255872,9663000,10788760,333200,8934985,64400,697335,9862860,3766579,1949780,193246610,,399687,7585131,15756927,8303330,13977903,19521645,33739900,505606,54977.26031,4422397,11206152,16970265,1331460000,45659709,659098.3509,3683182,,4578945,21075010,4432000.902,11204180,871036,10489970,23906070,66020365,5529270,864202,73595.6042,10090151,13625069,82999393,6163050,676273,5073279,1340345,82824732,849218,5338395,64542729,1474586,1705212,4410800,81879976,23837261,31045,11283293,103930,14026947,10068724,1610746,762498,10032619,,7465998,7003700,10022302,319062,1155347678,229964723,72903921.33,31494286.68,4450446,7441700,60221211,2699616.59,127560000,5951000,15925000,39802015,98045,2794705.874,5321354.858,6320429,2255128,4223553,2066919,3954979,6419925,35911,3339550,497854,537972,19625030,14442290,27467837,309430,14909813,414971,61025.57439,3290630,1275323,107431225,110676,32812,2670966,624213,,31992592,22894294,50019775,2171137,,29330505,16531294,,4315800,5742800,15290102,154728892,,4827038,2845415,169708302.6,20397.66271,4043218,3453898,6732159,6348917,29164883,91983102,38149886,10632069,1409423,48747000,3565603,21482395,141850000,9997614,49593.31507,172091.8169,109209,178846,31451,162755,25391100,12534228,7319712.448,87972.06375,5696471,4987600,5418156,2043241,523170,9133124,49320150,45957671,20303476.93,42478309,519740,1184936,9302123,7731167,21092261.55,6952223,67764033,2056769,1099887,6618613,,103967,1338585,10432500,74815703,5109881,32788,9806,32709865,46008406,4598600,61838154,43739051,307007000,3344938,27767100,233790,28384000,87279754.43,23580220,12723746,12522784,,,,56061,,,3967288,80491,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Population growth,,Example with customized map legend set in data file,,0=[0x993404][4] 1=[0xD95F0E][3] 2=[0xFE9929][2] 3=[0xFED98E][1] 4=[0xFFFFD4],,,,,2.657669026,0.380404748,1.507325551,1.606747846,2.612340248,,1.108864973,0.981542712,0.190388493,1.007660264,2.046406045,0.325357641,1.156863519,1.190803923,2.027818298,1.378352072,0.261801255,-0.184554833,0.747328955,3.388085396,3.101889865,0.311042241,1.523881398,1.725739336,-0.17297823,1.480715534,0.885358145,,1.870587027,-0.503192495,3.375792073,2.797615822,1.116960858,2.244381508,1.278143253,1.380914485,1.335271421,1.897733876,2.644705618,0.984859808,0.512403634,1.428501424,2.383992486,1.864315073,,1.315000993,2.321922476,-0.045095829,-0.004953386,0.992468356,0.627648993,0.365919,2.707826811,0.646819864,1.74588183,0.547979484,1.371482319,1.059866687,1.789693106,0.473939161,2.557441306,2.928203535,-0.024617496,2.582168262,0.610893054,0.469330253,0.55077804,1.808417786,2.675136614,0.616296226,-0.280652538,2.061326112,0.041883468,0.410286598,0.377890052,2.459750019,2.36843165,2.215901892,-0.123072099,1.569340915,,1.991423548,0.371923126,-0.15838101,0.517852577,1.34038184,1.145687071,1.308313638,2.518029853,0.558150668,1.802021577,0.648100585,0.461,-0.112824382,2.363452695,1.588697663,2.639171301,1.528269289,2.414315788,0.819965213,1.837671277,-0.485091044,0.70794876,0.849787494,4.17125769,1.978087962,0.788374226,-0.554373727,1.866037457,2.216695566,2.654479405,3.073823092,1.664803149,1.433159802,3.063406161,0.730665551,2.251095455,2.32383034,0.508534897,1.011125628,0.279583793,0.296061382,1.120078756,0.299866175,,1.216954968,2.260683132,0.917345627,1.919756069,,1.792200437,0.51976521,,1.092652431,1.322967116,3.90644988,2.298999618,,1.226163717,2.133143893,2.142192413,0.584730146,2.654341452,1.607425309,2.334424465,1.764787389,1.131646708,1.793116877,0.06326266,0.090860842,9.5647112,0.287610363,-0.126238331,-0.145255341,-0.070472166,2.808944942,0.816695757,1.102714541,0.084277645,-0.012859399,1.344407433,1.598527825,2.327284751,2.611113472,-0.415933672,1.161706307,2.427519123,3.016408604,0.213029775,1.078848822,2.417895361,2.29029167,1.074540882,0.878467289,0.728,2.534678911,0.892103815,1.453801367,0.890698782,1.085814137,2.452381786,1.684655777,0.55886026,0.206604957,1.847884054,2.447248118,,0.386445046,0.389001427,1.008664496,1.21220233,1.305243458,0.378904077,0.204165036,3.272168566,-0.541462662,2.502790669,0.699788994,2.911559661,0.861005479,0.325977719,1.646345881,2.489783917,1.594522322,1.232328849,2.850806867,2.741908552,0.479515911,,,,-0.475136361,,,0.32151645,-0.064582637,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Urban population growth,,Example with customized map legend set in data file,,0=[0x08519C][5] 1=[0x3182BD][4] 2=[0x6BAED6][3] 3=[0xBDD7E7][2] 4=[0xEFF3FF],,,,,6.482,1.854,2.342,1.19414,5.637,,,2.223,1.748,1.732,1.901,1.38984,2.3,1.996,2.233,2.288,1.538,1.5,1.850130364,2.837,5.378,1.7616,2.563,3.371,1.212,2.822,1.827,,2.052,1.56789,5.841,4.45,2.859,4.541,1.629,2.663,,4.697,6.081,1.926,1.769,2.404,3.885,4.268,,1.943,4.514,1.465,1.505,1.516,1.49239,1.854,5.908,1.83868,3.794,,2.612,2.513,2.816,2.295,5.283,4.528,1.62218,5.211,2.693,1.86386,2.00024,3.24,4.969,1.582,1.35691,3.91225,,1.522,2.264,4.018,5.329,5.659,2.301,3.424,,3.19,1.042,1.32118,2.22849,2.682,2.1305,1.781,3.927,2.06776,2.96,1.412580909,2.362,1.37,3.383,2.6,4.859,,2.152,2.8,3.415,1.3112,1.841,3.264,5.8115,2.642,1.70976,1.54645,1.5873,0.966,4.62,5.455,2.508,2,6.52,1.43594,,4.388,1.5,2.068448105,3.489,,1.988,1.635,,2.3295,4.967,2.281,3.29,,2.823,1.78933,,2.14,2.683,7.069,5.60475,,1.97958,2.978,3.872,,4.917,2.516,4.01,2.977,2.53,3.026,1.39757,1.31848,2.36,1.275,1.502,1.37627,1.55,5.33,,1.997,2.102,3.852,,3.718,3.04,4.74,1.4,2.3,5.165,1.22,1.41135,1.53305,3.783,6.351,2.505,1.39728,2.308,4.058,2.373,3.45,1.9354,1.4964,3.1426,3.35,1.822,1.436,6.378,4.166,,3.928,1.647,2.05,2.1,2.43,,,6.254,1.46,1.899,2.001818571,5.52,2.05,1.9966,2.651,3.883,2.509,2.033,5.1,5.737,3.363,,,,2.359,,,1.6528,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Example non-quantitative map,,"Example of a qualitative or descriptive map. To create one, a country is given a value of 0 or higher. This value needs to correspond to a value and label in the column MAP. In this example the values range from 0 to 4 (5 color classes and labels).",,0=[0xE41A1C][Category 1] 1=[0x377EB8][Category 2] 2=[0x4DAF4A][Category 3] 3=[0x984EA3][Category 4] 4=[0xFF7F00][Category 5],,,,,1,4,3,1,0,4,3,3,2,1,2,4,2,3,1,1,3,1,2,1,3,3,1,0,2,3,1,0,2,3,3,1,4,1,2,1,2,3,1,2,4,3,1,1,2,1,3,3,4,3,3,1,4,3,1,0,4,3,3,2,1,2,4,2,3,1,1,3,1,2,1,3,3,1,0,2,3,1,0,2,3,3,1,4,1,2,1,2,3,1,2,4,3,1,1,2,1,3,3,4,3,3,1,4,3,1,0,4,3,3,2,1,2,4,2,3,1,1,3,1,2,1,3,3,1,0,2,3,1,0,2,3,3,1,4,1,2,1,2,3,1,2,4,3,1,1,2,1,3,3,4,3,3,1,4,3,1,0,4,3,3,2,1,2,4,2,3,1,1,3,1,2,1,3,3,1,0,2,3,1,0,2,3,3,1,4,1,2,1,2,3,1,2,4,3,1,1,2,1,3,3,4,3,3,1,4,3,1,0,4,3,3,2,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,-,,,,,,,,,29021099,3143291,34373426,83810.5,18020668,,86634,39882980,3077087,105455,21431800,8336926,8680100,337668,775585,160000128,255203,9680850,10708433,322100,8662086,64200,686789,9694113,3773100,1921122,191543237,,392280,7623395,15233884,8074254,13822644,19088385,33311400,498672,54248.044,4339263,10913667,16803952,1324655000,45012096,643571.3128,3615152,,4519126,20591302,4434000,11204735,862434,10424336,23818753,64256635,5493621,849245,73193.41834,9952711,13481424,81527172,6133910,659197,4926877,1340675,80713434,844046,5313399,64188219,1448159,1660200,4383700,82110097,23350927,31032,11237094,103538,13686128,9833055,1575446,763437,9876402,,7318789,6977700,10038188,317414,1139964932,227345082,71956321.69,30711152.29,4425675,7308800,59832179,2687200,127704000,5812000,15673999,38765312,96558,2728040.839,5277900,6205341,2266094,4193758,2049429,3793400,6294181,35629,3358115,488650,526178,19110941,14005113,27014337,305027,14459990,411950,59667.17723,3215043,1268854,106350433.7,110367,32715,2641216,622344,,31605616,22382533,49563019,2129854,,28809526,16445593,,4268900,5667325,14704318,151212254,,4768212,2785361,166111487.1,20278.73946,3937309,3398823,6576822,6237855,28836700,90348437,38125759,10622413,1280862,48607000,3570107,21513622,141950000,9720694,49189.938,170204.5601,109117,178869,31031,160174,24807000,12211181,7350221,86956,5559853,4839400,5406626,2021316,510672,8926326,48793022,45555716,20156204.34,41415151,515124,1167834,9219637,7647675,20581289.87,6836083,67386383,2052524,1079749,6458605,,103566,1333388,10327800,73914260,5043618,32664,9786,31656865,46258200,4484935,61406928,42483923,304375000,3334052,27313700,228041,27935000,86210781,22917485,12379612,12462879,,,,56328,,,3954553,80543,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,-,,,,,,,,,2.657669026,0.345234035,1.510349575,1.964633451,2.620415206,,1.152820778,0.989041611,0.15080813,1.220254514,1.690692747,0.434411324,1.144763217,1.20935157,2.087826506,1.414719001,0.258952643,-0.218234247,0.77559669,3.346271811,3.15418188,0.312012734,1.57748667,1.765189282,-0.140634148,1.504978651,0.915284629,,1.911702573,-0.475936534,3.421763034,2.969920525,1.111492715,2.270116209,1.011965659,1.404521725,1.335271421,1.904516805,2.700173782,1.003696006,0.512386932,1.460560252,2.383992486,1.787507909,,1.344297775,2.301545184,-0.045095829,0.0026507,1.004525277,0.868815999,0.383108104,2.735390463,0.58754759,1.776545711,0.547979484,1.406703432,1.040949978,1.815326497,0.443587521,2.610707461,3.00202415,-0.074337887,2.59466323,0.635511381,0.465549285,0.565626951,1.831174834,2.728738074,-0.107157931,-0.190142845,2.076843766,0.09672116,0.395286138,0.357027476,2.458409801,2.241769788,2.208089362,-0.086806413,1.595380922,,1.996351658,0.745134205,-0.175097367,1.859572171,1.34038184,1.183819191,1.308313638,2.518029853,1.565489877,1.776579106,0.766549688,0.425135826,-0.052255655,2.385418234,1.21835923,2.641582839,1.555143905,2.414315788,0.819965213,1.837944158,-0.44058075,0.749338611,0.870014958,4.477828002,2.008929185,0.811614995,-0.519861403,1.787496632,2.521557619,2.686476767,3.01321058,1.712504337,1.422734875,3.084458236,0.70645848,2.291131182,2.396130353,0.645335434,1.011125628,0.249479624,0.290809113,1.133264576,0.225692515,,1.214344083,2.319421601,0.878642141,1.952545422,,1.831337696,0.389292461,,0.955616179,1.283458938,3.915587988,2.335343922,,1.246333015,2.143174259,2.142192413,0.577191818,2.706235843,1.645858879,2.373267801,1.798940793,1.144725951,1.820883228,0.01363738,0.132618993,11.86538246,0.311138378,-0.190205445,-0.154438571,-0.105615218,2.77626003,0.816695757,1.102714541,0.102694831,-0.044156651,1.464050432,1.596580289,2.32718345,2.637384826,-0.425719157,2.237458736,2.54020556,5.321577945,0.172307489,0.158140844,2.46456168,2.194528887,1.104057215,1.49673505,0.728,2.546980714,0.927953299,1.417302627,0.779033291,1.270618074,2.452381786,1.60295865,0.605846757,0.224463482,1.773354721,2.478514846,,0.483953091,0.388638318,0.996446756,1.239515488,1.321882806,0.771397712,0.24554954,3.27288437,-0.541462211,2.735487072,0.697173588,2.883944129,0.92251729,0.304778368,1.645986424,2.515129759,1.631275121,1.232328849,2.869083855,2.653956076,0.109665604,,,,-0.402186877,,,0.337344737,-0.016139144,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,-,,,,,,,,,6.601,1.858,2.363,1.25228,5.761,,,2.239,1.739,1.734,1.97,1.41247,2.3,2.008,2.271,2.338,1.529,1.42,1.826398,2.902,5.449,1.7592,2.642,3.459,1.209,2.865,1.88,,2.081,1.48053,5.906,4.587,2.913,4.622,1.604,2.734,,4.8,6.164,1.934,1.765,2.429,3.952,4.366,,1.964,4.604,1.47,1.51,1.515,1.49743,1.857,6.029,1.88764,3.896,,2.649,2.555,2.861,2.321,5.338,4.631,1.65281,5.319,2.733,1.84621,2.00586,3.309,5.054,1.577,1.37865,4,,1.50855,2.282,4.108,5.409,5.705,2.323,3.5,,3.263,1.056,1.34746,2.15422,2.738,2.169,1.812,4.052,2.09607,2.96,1.41612,2.386,1.37,3.486,2.7,4.918,,2.168,2.7,3.474,1.44397,1.849,3.332,5.9,2.695,1.43468,1.46998,1.606,0.946,4.722,5.548,2.557,2.024,6.54,1.44259,,4.474,1.58,2.104209706,3.574,,1.999,1.642,,2.354,5.064,2.303,3.361,,2.902,1.77185,,2.19,2.721,7.121,5.7,,1.95685,3.045,3.955,,5.036,2.546,4.069,3.047,2.572,3.075,1.38998,1.36929,2.413,1.19,1.495,1.35482,1.49,5.407,,2.014,2.116,3.952,1.5,3.808,3.124,4.82,1.4,2.28,5.204,1.28,1.32015,1.52705,3.869,6.389,2.54,1.4646,2.326,4.17,2.401,3.53,1.90683,1.48342,3.245,3.414,1.815,1.438,6.484,4.259,,4.003,1.636,2.06,2.114,2.475,,,6.339,1.39,1.943,1.95577,5.561,2.1,2.01,2.556,3.958,2.544,2.062,5.224,5.826,3.429,,,,2.1782,,,1.6516,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,-,,,,,,,,,3,2,1,0,1,3,3,2,0,3,2,2,4,3,0,0,3,1,3,1,2,3,3,4,1,3,1,3,2,3,4,3,3,4,4,0,3,1,3,2,2,0,3,3,1,0,2,1,4,3,1,3,2,1,0,1,3,3,2,0,3,2,2,4,3,0,0,3,1,3,1,2,3,3,4,1,3,1,3,2,3,4,3,3,4,4,0,3,1,3,2,2,0,3,3,1,0,2,1,4,3,1,3,2,1,0,1,3,3,2,0,3,2,2,4,3,0,0,3,1,3,1,2,3,3,4,1,3,1,3,2,3,4,3,3,4,4,0,3,1,3,2,2,0,3,3,1,0,2,1,4,3,1,3,2,1,0,1,3,3,2,0,3,2,2,4,3,0,0,3,1,3,1,2,3,3,4,1,3,1,3,2,3,4,3,3,4,4,0,3,1,3,2,2,0,3,3,1,0,2,1,4,3,1,3,2,1,0,1,3,3,2,0,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
